,text,agg,conds
83,"what was the ranking of the season finale aired on may 8, 2006",0,1
84,what is the minimum population canada 2011 census with seat of rcm being cowansville,2,1
85,what's the land area with seat of rcm being granby,0,1
86,what is the population for county mayo with the english name carrowteige,0,2
87,what is the irish name listed with 62% irish speakers,0,1
88,what is the population for the irish name leitir mealláin,0,1
89,what is the county for the irish name carna,0,1
90,how many county kerry have 53% irish speakers,3,2
91,what is the population for the english name spiddal,0,1
92,what is the the chinese population for the state that has a filipino population of 1474707,2,1
93,how many states have an indian population of 30947,3,1
94,what is the highest indian population,1,0
95,what is australia's role in the un operation unama,0,1
96,"what is the un operation title with the un operation name, uncok",0,1
97,how many australians were in the un commission on korea,3,1
98,when was it where 65 australians were involved in the un,0,1
99,what year is the season with the 10.73 million views,0,1
100,what is the season year where the rank is 39,0,1
101,what is the number of season premieres were 10.17 people watched,3,1
102,what is the year of the season that was 12,0,1
103,in 2012 what was the average finish,0,1
104,how many wins happened in 1983,2,1
105,how many top tens had an average start of 29.4,3,1
106,how many poles had an average finish of 19.1,1,1
107,how many starts did hendrick motorsports have,2,1
108,nhl players are all centre in florida panthers.,0,2
109,nhl team player san jose sharks is united states nationally.,0,2
110,all players are position mark polak.,0,1
111,position in nhl team centre are all smaller pick than 243.0,0,2
112,what college/junior/club teams do the players from the st. louis blues come from,0,1
113,what teams do the players from tps (finland) play for,0,1
114,what high school team did doug nolan play for,0,1
115,what club team is per gustafsson play for,0,1
116,what is the nationality of shayne wright,0,1
117,how many votes did southern england cast whilst northern ireland cast 3,0,1
118,what was the lowest number of votes scotland cast,2,0
119,what is the total number of votes if scotland cast 35,3,1
120,how many votes did northern ireland cast if the total was 35,0,1
121,how many votes did wales cast when northern england cast 6,2,1
122,what teams had 9 in the top 5 and 1 wins,0,2
123,what teams did the player vadim sharifijanov play for,0,1
124,what positions do the hartford whalers nhl team have,0,1
125,"what is the smallest pick for the player, brett lindros",2,1
126,"what positions does the college/junior/club team, molot perm (russia) have",0,1
127,the nhl team new york islanders is what nationality,0,1
128,what is the name of the vacator for district louisiana 1st,0,1
129,what is the notion when the crystal structure is tetragonal and the formula is bi 2 sr 2 cacu 2 o 8,0,2
130,how many times is the formula tl 2 ba 2 cuo 6,0,1
131,what is the crystal structure for the formula yba 2 cu 3 o 7,0,1
132,what is the number for t c (k) when the notation is tl-2212,3,1
133,how many 2010 estimations have been done in the city of cremona,3,1
134,what's the 2001 census of the region of abruzzo where the 1871 census is bigger than 51092.0,2,2
135,what's the 1991 census of the city of carpi,1,1
136,how many 2001 censuses are there on number 13,3,1
137,what's the 1981 census of livorno,0,1
138,which nhl team has player mike loach,0,1
139,what is the nhl team that has peter strom,0,1
140,what team is keith mccambridge on,0,1
141,how many nationalities are the pick 193,3,1
142,"who was the succesor that was formally installed on november 8, 1978",0,1
143,how many songs received a 10 from goodman and were rated by tonioli,3,1
144,"what score did goodman give to all songs with safe results, which received a 7 from horwood and have a total score of 31",0,3
145,"what score did dixon give to the song ""samba / young hearts run free"", which was in second place",0,2
146,"how many scores did goodman give to ""samba / young hearts run free"", which was in second place",3,2
147,what year was number 7 built,0,1
148,what is we two when the case/suffix is loc.,0,1
149,what is them two (the two) when we two is ngalbelpa,0,1
150,what is them two (the two) when you and i is ngœbalngu,0,1
151,what is who-two where you and i is ngœban,0,1
152,what is we two where you two is ngipen,0,1
153,what is who-two when you two is ngipelngu,0,1
154,what's the points with driver  mark martin,0,1
155,what's the points with driver  rusty wallace,0,1
156,what's the total number of position with driver  robby gordon,3,1
157,"what's the maximum position with winnings  $50,000",1,1
158,what actor was nominted for an award in the film anastasiya slutskaya,0,1
159,what was the film falling up nominated for,0,1
160,what is the name of the actress that was nominated for best actress in a leading role in the film chopin: desire for love,0,2
161,what is the name of the actress that was nominated for best actress in a leading role in the film chopin: desire for love,0,2
162,which films does the actor alla sergiyko star in,0,1
163,which nominations was the film 27 stolen kisses nominated for,0,1
164,which actor from serbia was nominated for best actor in a supporting role,0,2
165,vsevolod shilovskiy is from what country,0,1
166,which nominations are connected to the film totalitarian romance,0,1
167,srdjan dragojevic worked on a film which earned what nomination,0,1
168,which actors are from ukraine,0,1
169,what was the film that vadim ilyenko directed,0,1
170,what was the actors name that vadim ilyenko directed,0,1
171,what was the actors name for fuchzhou and nomination was best non-professional actor,0,2
172,what film did michaylo ilyenko make with best actor in a supporting role,0,2
173,what was the actor's name for best debut,0,1
174,what was the number of nominations for natalia raskokoha,3,1
175,what is the highest value of total goals,1,0
176,when fa cup apps is 9 what is the smallest number of fa cup goals,2,1
177,what is the smallest number of total goals,2,0
178,what circuit was the race where hideki mutoh had the fastest lap,0,1
179,"what is the minimum production code with title ""foreign exchange problem / turn about""",2,1
180,"what is the episode # for title ""the yindianapolis 500 / personality problem""",0,1
181,what is the episode # for production code 227,0,1
182,who directed the movie written by is sib ventress / aydrea ten bosch,0,1
183,"what is the production code with title ""skirting the issue / moon over my yinnie""",0,1
184,whatis the number of total goals maximum,1,0
185,how many temperature intervals are possible to use with acryl,3,1
186,how many matches where played with jim pugh,3,1
187,what is the score with partner jim pugh,0,1
188,"how many matched scored 3–6, 7–6(5), 6–3",3,1
189,what is the score of the match with partner jim pugh,0,1
190,what year was the championship in wimbledon (2),0,1
191,what is the score of the match with opponents gretchen magers kelly jones,0,1
192,how many birthdays does earl hanley beshlin have,3,1
193,"which politican party has a birthday of november 10, 1880",0,1
194,"which representative has a birthday of january 31, 1866",0,1
195,what is the singles w-l for the players named  laurynas grigelis,0,1
196,what is the current singles ranking for the player named mantas bugailiškis,0,1
197,how many playerd mrs. darling in the 1999 broadway,3,1
198,who played peter pan in the 1990 broadway,0,1
199,who played in the 1991 broadway before barbara mcculloh played the part in the 1999 broadway,0,1
200,who played in the 1990 broadway after tom halloran played the character in the 1955 broadcast,0,1
201,what character did drake english play in the 1998 broadway,0,1
202,what date was bbc one total viewing greater then 11616996.338225884,0,1
203,how many years did bbc one rank 20th,3,1
204,"what year was the bbc two total viewing 7,530,000",2,1
205,how many ↓ function / genus → with escherichia being espd,3,1
206,what's the salmonella with escherichia being espd,0,1
207,what's the ↓ function / genus → with shigella being spa32,0,1
208,what's the salmonella with shigella being ipgc,0,1
209,what's the salmonella with escherichia being sepb (escn),0,1
210,what's the shigella with yersinia being yscp,0,1
211,how many original titles did marriage italian-style have,3,1
212,what year was a movie with the original title la leggenda del santo bevitore submitted,0,1
213,"what's the camp with estimated deaths of 600,000",0,1
214,what's the operational period with camp  sajmište,0,1
215,what's the estimated deaths with operational period of 17 march 1942 – end of june 1943,0,1
216,what's the current country of location with operational period  of summer of 1941 to 28 june 1944,0,1
217,"what's the occupied territory with estimated deaths of 600,000",0,1
218,what's the occupied territory with operational period of may 1940 – january 1945,0,1
219,which overall pick was traded to the cleveland browns,0,1
220,overall pick 240 was a pick in which round,0,1
221,which overall pick number went to college at youngstown state,2,1
222,what position is played by pick 255 overall,0,1
223,which player was chosen in round 17,0,1
224,the record of 7-3 had the largest attendance of what,1,1
225,the record of 9-4 was against which opponent,0,1
226,the game number of 8 had a record of what,0,1
227,what round was steve stonebreaker drafted,1,1
228,who was the top picki n the draft,2,0
229,what round was bill hill drafted,0,1
230,what was the name of the quarterback drafted,0,1
231,where is the college where keith hartwig plays,0,1
232,what is the name of the linebacker at illinois college,0,2
233,what is the greatest round of overall 83,1,1
234,which round did tommy kramer play in>,0,1
235,what is rice's collage score,0,1
236,where does the defensive back position appear first,2,1
237,what is bruce cerone overall,2,1
238,which player went to emporia state,0,1
239,what is the highest choice,1,0
240,what college did bill cappleman go to,0,1
241,"for the headstamp id of h2, what was the color of the bullet tip",0,1
242,"for the functional type of light ball, what were the other features",0,1
243,how many primers annulus colors were there when the color of the bullet tip was white,3,1
244,how many bullet tips colors had other features of a blue band on case base,3,1
245,how many touchdowns were scored in the year with a completion percentage of 56.0,2,1
246,what number of completions are recorded for the year with 12 games started,0,1
247,how many years were there with 348 attempts,3,1
248,how many characters is by babs rubenstein,3,1
249,which person is in the tronto/broadway and has a uk tour of n/a,0,1
250,how many people play frank in london,3,1
251,who was class aaa during the school year of 2000-01,0,1
252,who was class aaa during the same year that class a was (tie) apple springs/texline,0,1
253,who was class aaaaa during the school year of 1995-96,0,1
254,who was class aaa during the same year that class aaaaa was brownsville pace,0,1
255,what was the total number of class aaa during the same year that class aaa was white oak,3,1
256,"how many records are listed on friday, may 25",3,1
257,"how many opponents were played on saturday, june 9",3,1
258,in what week was the first game played at the commerzbank-arena,2,1
259,what was the original air date of an episode set in 1544,0,1
260,how many settings where there for episode 29 of the season,3,1
261,"who wrote the episode that was set in winter 1541/february 13, 1542",0,1
262,"what episode number of the season was ""the northern uprising""",0,1
263,what is the name of the track that lasts 5:30,0,1
264,what is the album namethat has the track title sweetness 甜甜的 (tián tián de),0,1
265,what is the duration of the song where the major instrument is the piano and the date is 2004-02-03,0,2
266,what is the total number of lyricist where the lyrics theme is romance and the song lasts 3:50,3,2
267,what is the major instrument of the song that lasts 4:32,0,1
268,what is the total number of music genre/style in which the lyrics are a detective story,3,1
269,what is the playoffs for the usl pro select league,0,1
270,what is the number of the division for the 1st round,3,1
271,what was the team where series is formula renault 2.0 nec,0,1
272,what is the total number of poles for arden international,3,1
273,what is the number of wins for gp2 series for racing engineering,3,2
274,what is the number of podiums for season 2010 for campionato italiano superstars.,3,2
275,what is the podium for 144 points,0,1
276,"how many writers had an us air date of september 25, 1993",3,1
277,how many villians were in no. 25,3,1
278,"what being the maximum year where regular season is 4th, northwest",1,1
279,"what is the total number of playoffs where regular season is 6th, southwest",3,1
280,what is the maximum division,1,0
281,"what's the league where regular season is 2nd, northwest",0,1
282,what are all the regular season where year is 2011,0,1
283,how many titles have the number 11,3,1
284,how many have mrs. briar as a villain,3,1
285,how many have the number 8,3,1
286,"how many have the title ""the tale of the room for rent""",3,1
287,what is the name of the episode told by kiki and directed by will dixon,0,2
288,"who is the storyteller in the episode called ""the tale of the jagged sign""",0,1
289,who wrote episode #3,0,1
290,"who are the villains in the episode titled ""the tale of the forever game""",0,1
291,"how many villains appeared in the episode titled ""the tale of the virtual pets""",3,1
292,who are the villains in the episodes where megan is the storyteller and lorette leblanc is the director,0,2
293,what is the largest # for an episode that was written by allison lea bingeman,1,1
294,name the species when petal width is 2.0 and petal length is 4.9,0,2
295,name the sepal width for i.virginica with petal length of 5.1,0,2
296,name the number of species with sepal width of 3.4 and sepal length of 5.4,3,2
297,name the sepal length for sepal width of 2.8 and petal length of 5.1,0,2
298,name the sepal width when sepal length is 6.5 and petal width is 2.2,0,2
299,name the sepal lengh when sepal width is 2.9 and petal width 1.3,0,2
300,who is the director and what number is the episode for episode #1 of are you afraid of the dark season 3,3,1
301,who is the director of the episode whom scott peters is the writer,0,1
302,who is the villain in episode #7,0,1
303,who wrote episode #1 in season 7,3,1
304,when did the episode written by jim morris air,0,1
305,what was datsun twin 200's fastest lap,0,1
306,"in the datsun twin 200 race, what was the fastest lap",0,1
307,what's the report for the true value 500,0,1
308,what was johnny rutherford's fastest lap while al unser was the pole position,0,2
309,what's the report on penske racing winning while the pole position was al unser,3,2
310,"which countries have a scouting organization that was founded in 1926, and joined wosm in 1930",0,2
311,"does venezuela admit only boys, only girls, or both",0,1
312,"which organizations were founded in 1972, but became wosm members until 1977",0,2
313,"does the scout association of hong kong admit boys, girls, or both",0,1
314,"does the ghana scout association (founded in 1912) admit boys, girls, or both",0,2
315,what is the model number introduced may 1999,1,1
316,what is the print resolution (fpi) for december 2002,0,1
317,what is the maximum memory for the model discontinued in november 2001,0,1
318,what is main presenters of la granja,0,1
319,what is the main presenter of bulgaria,0,1
320,how many winners are there of farma,3,1
321,what is the most cup goals for seasson 1911-12,1,1
322,what is the league apps for season 1923-24,0,1
323,what is the team for season 1911-12,0,1
324,what's the minimum attendance with score  10.16 (76) – 9.22 (76),2,1
325,who's the premier with in 1970,0,1
326,who are all the runner-up for premier in richmond,0,1
327,what is the minimum attendance with score 8.16 (64) – 8.12 (60),2,1
328,how many mileposts are there on anne street,3,1
329,which street is 12.2 miles long,0,1
330,where does route 24 intersect,0,1
331,where is milepost 12.8,0,1
332,what is the minimum amount for wool for 2001-02,2,1
333,who were the operational owners during the construction date of april 1892,0,1
334,where can you find colorado and southern railway #9,0,1
335,"what is the wheel arrangement for the train in riverdale, georgia",0,1
336,when was the train 2053 built,0,1
337,how many wheels does the train owned by texas and new orleans railroad #319 have,3,1
338,which college has the men's nickname of the blazers,0,1
339,name the joined for the wolfpack women's nickname,0,1
340,name the left of the lady pilots.,0,1
341,"name the women's nickname when the enrollment is 1500 in mobile, alabama.",0,2
342,"which conference is in jackson, mississippi",0,1
343,what is the men's nickname at the school that has the lady wildcats women's nickname,0,1
344,"what is the mens nickname for the member location of jacksonville, florida",0,1
345,what is the enrollment for the institution that was founded in 1866 and is a private/(african methodist) type,1,2
346,"that is the year founded for the institution location of nashville, tennessee",2,1
347,what is the year the institution tougaloo college joined,0,1
348,what is the date of vacancy when the date of appointment is 28 november 2007 and replaced by is alex mcleish,0,2
349,what is the date of appointment when the date of vacancy is 21 december 2007,0,1
350,who replaced when team is wigan athletic,0,1
351,what is the date of vacancy when the team is manchester city and replaced by is mark hughes,0,2
352,what is the date of appointment when replaced by is roy hodgson,0,1
353,who replaced when position in table is pre-season,0,1
354,how many games had a score value of 813.5 in post-season play,3,1
355,did any team score games that totaled up to 860.5,0,1
356,what was the score of the game when the team reached a record of 6-9,0,1
357,what type institution is point park university,0,1
358,"how many institutions are located in wilmore, kentucky and private",1,2
359,point park university is what type of institution,0,1
360,how many founded dates are listed for carlow university 1,3,1
361,"who wrote the episode titled ""black""",0,1
362,"who are the writers for the episode ""solo""",0,1
363,what is the original air date of the episode no in season 9,0,1
364,"what is the title of the episode written by denis leary, peter tolan and evan reilly",0,1
365,"how many episodes were titles ""voicemail""",3,1
366,when was kamba active,0,1
367,what was the cyclone's pressure in the storm that death was equal to 95km/h (60mph),0,1
368,what were the active dates for the storm that had 185km/h (115mph) deaths,0,1
369,what was the damage (usd) from the cyclones that measured 1003hpa (29.62inhg) pressure,0,1
370,what's the average where high score is 120,0,1
371,what's the player where 50 is 2 and n/o is 0,0,2
372,what's the player where inns is 21,0,1
373,which general election had a pq majority and a 44.75% of the popular vote,0,2
374,what is the least number of candidates running were there when 80 seats were won,2,1
375,how many seats were won in the election with 125 candidates,3,1
376,how many weeks are there,1,0
377,how many people attended the game against the indianapolis colts,3,1
378,"on december 16, 1985, all the records were what",0,1
379,how many results are there for the 0-4 record,3,1
380,"how many weeks are there that include the date october 11, 1969.",3,1
381,"how many weeks are there that include the date november 9, 1969.",3,1
382,how many records are there at the war memorial stadium,3,1
383,"what was the minimum attendance on december 7, 1969",2,1
384,what week corresponds to the last one to be played at the memorial stadium,1,1
385,in which stadium is the week 5 game played,0,1
386,in penney's game what is the probability where the 1st player wins if the probability of a draw is 8.28% and the 2nd player chooses b br,0,2
387,"if the first player chooses rb b, what is the second player's choices",0,1
388,what is the probability where the second player wins where their choice is r rb and the first player has a 5.18% chance of winning,0,2
389,what are the chances the first player will win if the 2nd player has an 80.11% chance of winning with the choice of r rb,0,2
390,what are the chances that player 2 wins if player 1's choice is bb r,0,1
391,how high is the chance that player 1 wins if player 2 has an 88.29% chance of winning with the choice of r rb,0,2
392,what is the nfl team where player is thane gash,0,1
393,what is the maximum pick # where player is anthony blaylock,1,1
394,what's the nfl team where player is clifford charlton,0,1
395,what's the position where player is anthony blaylock,0,1
396,what is the minimum pick # where position is defensive tackle,2,1
397,which province has a density of 971.4,0,1
398,what is friesland's gdp per capita,2,1
399,what is the area of the place that has a population density of 331.4,1,1
400,which province has a gdp of 38355€  million euros,0,1
401,what is the population estimate for the place that gad a 18496€  million euro gdp,0,1
402,"what is the title when original air date is may15,2008",0,1
403,what is the highest no. in season,1,0
404,who directed the episode where u.s. viewers (million) is 12.90,0,1
405,"how many episodes aired in region 2 beginning may 26, 2008",2,1
406,what date did the dvd for season six come out in region 2,0,1
407,what is the least amount of season epidsodes,2,0
408,"what dvd season/name for region 2 was released august 22, 2010",0,1
409,how many points for 2005,3,1
410,what is the score for the dams,0,1
411,how many positions in 2009,3,1
412,what is the least number of poles,2,0
413,which series with 62 points,0,1
414,what is the total for 10th position,3,1
415,how many reports of races took place on october 16,3,1
416,what is the name of the report that lists the race name as long beach grand prix,0,1
417,what is the report called where the circuit took place at the nazareth speedway,0,1
418,what is the name of the race where newman/haas racing is the winning team and rick mears is at the pole position,0,2
419,meadowlands sports complex is the circuit at which city/location,0,1
420,what is the literacy rate for groups that grew 103.1% between 1991 and 2001,0,1
421,what is the lowest sex ratio in rural areas,2,0
422,what is the lowest child sex ratio in groups where employment is 31.3%,2,1
423,what is the population percentage of the group where the rural sex ratio is 953,0,1
424,"what is the original air date for the title ""felonious monk""",0,1
425,what is the title of the episode directed by peter markle and written by jerry stahl,0,2
426,"how many episodes were titled ""identity crisis""",3,1
427,who does the lap-by-lap in 2011,0,1
428,which network has marty reid as host and lap-by-lap broadcaster,0,2
429,how many pre-race analysis occur when allen bestwick does the lap-by-lap,3,1
430,what's the highest season number of an episode in the series,1,0
431,"when did the episode titled ""lucky strike"" air for the first time",0,1
432,"who was the writer of the episode titled ""one hit wonder""",0,1
433,what's the date of the first airing of the episode with series number 63,0,1
434,how many titles got a viewership of 26.53 million,3,1
435,how many viewers tuned into the show directed by matt earl beesley,0,1
436,who wrote episode 94,0,1
437,which episode was the number in the season where the number in the season is 10,0,1
438,"how many episodes were in the season that had the epiosde of ""crow's feet""",0,1
439,when did the 113 episode air,0,1
440,how many titles were there for the 113 episode,3,1
441,what is the number in the season that marlene meyer wrote and 20.49 million people watched,1,2
442,when did the no. 23 show originally air,0,1
443,which circuits had a race on october 4,0,1
444,in which reports does michael andretti have the pole position and galles-kraco racing is the winning team,0,2
445,how many rounds were there of the bosch spark plug grand prix,3,1
446,which rounds were held on august 9,0,1
447,on how many dates did the michigan international speedway hold a round,3,1
448,name the total number of bids of the sun belt conference,3,1
449,name the round of 32 in conference usa,0,1
450,what is the record when round of 32 is 0 and metro atlantic conference,0,2
451,what is the number of bids with elite eight larger than 1.0,3,1
452,who directed the episode with production code 7aff03,0,1
453,what is the title of the episode wtih 10.34 million u.s viewers,0,1
454,what place is the team that completed 6 races,0,1
455,"how much did the british formula three called ""fortec motorsport"" score",0,2
456,how many races were in 2009 with 0 wins,0,2
457,what years did art grand prix compete,0,1
458,what year had a score of 9,0,1
459,what is the greatest number of wins by japanese formula three,1,1
460,who took test #4,0,1
461,what episode aired on 18 april 2007,2,1
462,who had the challenge of night driving,0,1
463,how many directors were there for the film course completed,3,1
464,who directed el nido,0,1
465,who directed dulcinea,0,1
466,what are the slovenian names of the villages that had 65.9% of slovenes in 1951,0,1
467,what are the slovenian names of the villages that had 16.7% of slovenes in 1991,0,1
468,how many villages had 21.7% of slovenes in 1991,3,1
469,what percent of slovenes did the village called čahorče in slovenian have in 1991,0,1
470,what is the slovenian name for the village that in german is known as st.margarethen,0,1
471,"for games on december 20, how many points did the scoring leaders get",0,1
472,who was the scoring leader and how many points did he get in games on december 23,0,1
473,what is the pick # for the position de,0,1
474,which player went to college at saint mary's,0,1
475,what is the position for the player with cfl team winnipeg blue bombers,0,1
476,which player went to college at laval,0,1
477,what was the college for the player with the cfl team of edmonton eskimos (via calgary),0,1
478,what's the team of the player from st. francis xavier college,0,1
479,what player is on the montreal alouettes cfl team,0,1
480,what's the pick number of the player from toronto argonauts,2,1
481,what's the pick number of the player whose position is cb,0,1
482,what's the pick number of the player from new mexico,1,1
483,what player went to ohio state college,0,1
484,what is the minimum introduced value for the departmental region,2,1
485,what is the smallest introduced value,2,0
486,which cfl teams drafted an ol in 2006,0,1
487,which college is aligned to the saskatchewan roughriders,0,1
488,what position did the hamilton tiger-cats (via ottawa) pick in the 2006 draft.,0,1
489,what is the earliest pick listed in the table.,2,0
490,what episode number had production code e4423,1,1
491,what's the latest episode in a season where the u.s. viewers totaled 14.37 million,1,1
492,"who directed the episode ""escape""",0,1
493,"how many seasons is the season finale on may 26, 2010",3,1
494,"what episodes are there where the season premier is september 23, 2009",0,1
495,what is the season finale for season 4,0,1
496,how many season premiers have a rank of #21,0,1
497,"what are the seasons where september 26, 2007 is the season premier",0,1
498,what max processor has a maximum memory of 256 gb,0,1
499,what is the max memory of the t5120 model,0,1
500,what is the lowest ru,2,0
501,"what ga date do the models with 1.0, 1.2, 1.4ghz processor frequencies have",0,1
502,what is the ga date of the t5120 model,0,1
503,what is the sport of the la liga league,0,1
504,what's the minimum total attendance of the premier league association football,2,2
505,what's the average attendance of the leagues in the season of 2013,2,1
506,what's the total attendance of the leagues in season of 2010,3,1
507,who were the directors of the film submitted with the title young törless,0,1
508,what was the original title of the film submitted with the title a woman in flames,0,1
509,in what years was a film submitted with the title the enigma of kaspar hauser,0,1
510,who were the directors of the film with the original title o.k.,0,1
511,what is the division for the division semifinals playoffs,0,1
512,"what is the number in series of ""say uncle""",0,1
513,what is the title written by david mamet,0,1
514,what was the finale for 潮爆大狀,0,1
515,what was the finale for  潮爆大狀,0,1
516,how many viewers were there for the premier with 34,0,1
517,how many are listed under 潮爆大狀,3,1
518,who was the director of the episode with a production code of 2393059,0,1
519,"how many people wrote ""michael's game""",3,1
520,"when did the episode title ""duet for one"" air",0,1
521,which episode had 16.38 million u.s. viewers,0,1
522,"what is the production code of the episode written by josé molina that aired on october 12, 2004",0,2
523,"what was the original air date of the episode ""quarry""",0,1
524,which episode was directed by jean de segonzac,0,1
525,what are the original air dates with a production code of 2394087,0,1
526,"who are the writers for the title ""boxing sydney""",0,1
527,"what are the production codes for the title ""all about brooke""",0,1
528,who are the writer(s) for the production code 2394084,0,1
529,what's the total number of episodes with the production code 2395113a,3,1
530,"what's the number of the episode called ""melrose unglued""",1,1
531,who's the writer for the episode with a production code 2395114,0,1
532,"who directed the episode titled ""full metal betsy""",0,1
533,what's the number of the episode with production code 2395118,0,1
534,who was the writer for the episode with production code 2395096,0,1
535,what generation of spectrograph is most likely to detect a planet with a radial velocity of 0.089 m/s,0,1
536,how long is the orbital period for the planet that has a semimajor axis of 5.20 au,0,1
537,what generation of spectrograph is jupiter detected by,0,1
538,which planet has an orbital period of 11.86 years,0,1
539,who directed the production code 2398204,0,1
540,"when did ""unpleasantville"" air",0,1
541,what is player alexis bwenge's pick number,0,1
542,what player is pick #2,0,1
543,which player's college is saskatchewan,0,1
544,what is mcmaster college's pick number,2,1
545,give the least number of times an episode was shown from 1997-1998,2,0
546,"when was the episode named ""the doctor is in... deep"" first broadcast",0,1
547,"how many times does the episode called ""coop de grace"" appear",3,1
548,what is season 6 sum of both the number of times processing id 2397162 was assigned and the number of times chip chalmers managed an episode,1,2
549,which player went to michigan state,0,1
550,which player went to college in oklahoma,0,1
551,which position does colt brennan play,0,1
552,what is the height of the person that weighs 320 pounds,0,1
553,how many colleges have a db position,3,1
554,what is the maximum number of picks for the cfl team calgary stampeders,1,1
555,how many cfl teams are from york college,3,1
556,what cfl teams are part of simon fraser college,0,1
557,which players have a pick number of 27,0,1
558,how many times were players named brett ralph were selected,3,1
559,what schools did lenard semajuste play for,0,1
560,what is the highest selection number for the saskatchewan roughriders team,1,1
561,how many fb players were drafted,3,1
562,how many players played for adams state school,3,1
563,what teams drafted players that played for northwood school,0,1
564,what college did craig zimmer go to,0,1
565,what is the pick number of regina,0,1
566,what is the player who is lb and cfl team is saskatchewan roughriders,0,2
567,what is the cfl team that has a position of ol,0,1
568,what is the number of position where the pick number is 43,3,1
569,what is the cfl team with ryan folk,0,1
570,what release date is when kids-270 is a reference,0,1
571,what is the title where romaji is titles da.i.su.ki,0,1
572,what are the title in japanese where the reference is kids-430,0,1
573,who is the reference when romaji title is heartbreak sniper,0,1
574,what rank is 愛のバカ on the japanese singles chart,3,1
